,sentences
33499,dad say cowabunga life script suck
33500,horrible act child abuse beloved run gag
33501,simpson merchandise selling like crazy
33502,simpson gin wetting whistle worldwide
33503,dollar bill toilet paper toilet paper dog toilet paper
33504,convince good time stop roll simpson move trademark house mc hammer
33505,find secret room fill ceiling parachute pant wear
33506,pant pant simpson fly high
33507,yeah see overnight sensation brad hall rich hall rich little little richard simpson blow -PRON- away hit record krustophenia sit shelf
33508,sing mr geffen believe
33509,go to groove tonight feel right simpson boogie
33510,right award good hardcore thrashmetal go simpson ' christmas boogie
33511,america favorite family come rose rose contain ready ste bee
33512,want set record straight think cop prostitute
33513,end season simpson burn nielsen box u s create sensation overseas
33514,hello mister lobster
33515,bathtub money wheelbarrow award firehose respect simpson
33516,streamer confetti storm cloud gather
33517,figurative storm cloud
33518,aw homer spendin ' money like teenage arab buy rolex ah cashmere jeans feel kinda guilty because try score wife start film oh
33519,bart throwin ' dough pay carl thousand buck kiss
33520,reckless spending interracial homoeroticism volume encyclopedia self destructica
33521,harrowing event april afternoon
33522,fan react slapdash episode yawn angry yawn
33523,script originally call jump gorge night pay people kiss dad volunteer stunt
33524,go great feel like king world
33525,king world woo hoo woo hoo
33526,right realize wrong
33527,yep come rock jag rock hit jag
33528,sequence instant comedy classic audience unfunny aftermath
33529,homer addicted painkiller way perform bone crack physical comedy star
33530,oh leg bad pain stop pummel painful owww
33531,punishment let fame like drug like drug drug
33532,despite mount problem simpson ' star continue rise
33533,  like plastic bag catch updraft
33534,honor walk fame mean hollywood royalty like milton berle nelson mandela
33535,  star cheerios honey bee
33536,award honor great pay pickle man
33537,earn million strapped cash
33538,time lisa buy edition susan b anthony man
33539,check bounce high rubber girl
33540,money marge lose family fortune invest birth control product
33541,learn people reach diaphragm want picture
33542,simpson ' money dwindle expense soar original hundred character
33543,simpson ' tv start wing prayer
33544,act life ah sea captain get catch phrase lose
33545,bombshell anonymous tipster alert uncle sam simpson evade income taxis
33546,yes fink homer know deserve see abuse penny leave penny tray
33547,tax man merciless
33548,hey house pot bellied pig
33549,ohhhh mister porky
33550,inevitably scene turmoil take toll tv series
33551,fine teen wolf iii get fair weather friend feed
33552,dad want bed child labor law
33553,tell law marge
33554,hey ride day poop hat
33555,go need tonight
33556,ballet ticket good
33557,family disarray episode increasingly resort gimmicky premise nonsensical plot
33558,imposter man real seymour skinner
33559,trendy guest star shamelessly trot grab rating
33560,big problem offscreen judge miss hawaiian tropic beauty contest sheraton haleakalualea bart create ruckus hawaiian airline jet attack flight attendant
33561,rehab bart simpson play good friend richie rich
33562,bart mean jury duty
33563,desperate polish tarnish image family agree live appearance iowa state fair
33564,right start bad feeling gig
33565,helloooo iowa donut
33566,homer time think food
33567,yeah forget donut nut musically
33568,kind song play
33569,swing beat new orleans
33570,rock sound today
33571,sadly argument act
33572,gut little man
33573,folk have little family tiff bear
33574,oh shut try act mature glad money
33575,hey hey stop
33576,jimmy carter come rescue comedy breakdance
33577,get brother name billy tooth look silly break
33578,come dream yes homer find new passion dusting polish mix board
33579,wing fire prayer answer satan
33580,state fair fiasco family speak fox hiatus replace hidden camera footage dressing room ann taylor
33581,slugfest state fair blessing give chance pursue solo project return love legitimate theater
33582,young female artist love live east village loft
33583,oh new landlord mr stingeley
33584,rent rent dollar dime nickel need right
33585,literally chew scenery
33586,family member spread creative wing bart replace lorenzo lama syndicate action series renegade
33587,esposito think go muscle wrong
33588,marge nightclub act
33589,shoot sheriff shoot dep u ty
33590,time sheriff shoot
33591,good night laughlin
33592,lisa sing tell book blast family
33593,prolong run series secretly give anti growth hormone
33594,ridiculous necessary drop cereal
33595,family trust bring lawyer thanksgiving dinner
33596,oh save book little snitch
33597,good thanksgiving mean emotionally terrible turkey moist
33598,carcass simpson ' empire pick clean
33599,come help unexpected source
33600,know person reunite troubled clan old fraternity brother willie nelson
33601,kegmeister julius cook phony award
33602,willie ask presenter new awareness award think microsecond
33603,redheaded stranger hear awareness seal deal
33604,willie fence mend egg bear fruit
33605,olive branch tear apart woodpecker mistrust
33606,night fate wear cummerbund suspense
33607,thank taco love tribute falco present award violent rap group homer simpson
33608,bart lisa simpson
33609,honest new awareness award elaborate sham
33610,know good true
33611,try patch thing van halen sammy hagar
33612,main thing folk stop silly feud right people
33613,hug hug hug
33614,hug hug hug hug
33615,simpson ' bitter past forget future look bright northern kentucky family
33616,craziness time matter sunday comic strip
33617,  homer write
33618,choke son poke fun simpson gag year come
33619,believe win contest
33620,simpson go delaware
33621,wanna visit screen door factory
33622,week laughter huckleberry hound
33623,hey cut beetle bailey need miss buxley fix
33624,read cathy hilarious
33625,eh baggage oo horoscope taurus today die
33626,  compliment attractive co worker lenny
33627,say die sound unusually specific horoscope
33628,maybe better check today husband die homer scared
33629,ooo scary newspaper hurt horoscope afraid
33630,ow oooh paper cut paper cut
33631,miss stupid horoscope
33632,cloopid blore apope
33633,handsome rattlesnake get bitin ' arm
33634,yeah fetching uh worried deadliness
33635,nah tired bite hour snake nature quitter
33636,horoscope baloney happen pick ax head rattlesnake bite testicle thing dessert
33637,dessert eat broccoli
33638,hmm broccoli relate death
33639,  oh yes deadly plant earth try warn terrible taste
33640,sure easy stiff like sad
33641,st peter woo hoo get heaven flander
33642,celebrate soon mr simpson single good deed
33643,homer settle chance heaven hour good deed
33644,sorry number hour good deed
33645,poor homie believe piece broccoli kill
33646,wrong dead wrong
33647,marge get to help good deed heaven
33648,get list chore clean garage paint house grout tu
33649,whoa whoa whoa try run jesus
33650,okay good deed good deed hello
33651,hey chance good deed
33652,happen people bustle
33653,hey stop squirm
33654,uh oh uh pretty sure go to hitler hello good deed
33655,let good deed
33656,  get to find good deed
33657,haw haw dad dead jail
33658,bart help sonnn
33659,minute leave heaven get to good deed come think think
33660,miracle thank heaven
33661,oh sorry look
33662,hey think guy
33663,think santa claus
33664,silence sinner prepare eternity horrible pain
33665,oh quiet wake john wayne
33666,son like watch fire violent
33667,miss good sister forget stupid book
33668,fairy tale away harsh reality peasant life
33669,hello wife hello child
33670,oh kid merry
33671,lose job oaf today
33672,maybe dunce father
33673,whaddaya think love
33674,oh dunce bear oaf die oaf
33675,husband weekly pittance shall feed child
33676,worry child starve home
33677,long kid enjoy new home hi brother sister
33678,face great parent
33679,forest fairy tale book step ahead
33680,aw geez come strong oh desperately lonely
33681,hello lose lovable orphan
33682,hmm bowl porridge oh familiar let
33683,hmm oh whoa hot
33684,oh bed right
33685,boy dump kid forest sure get hand dusty
33686,throw precious baby wood sell
33687,well idea know replace child
33688,son daughter sorry
33689,brave sir knight pray climb rescue
33690,ow wait wait
33691,wow house gingerbread
33692,come darling good candy inside
33693,wait let check book
33694,eh nice go to gut trust
33695,sweep fast time beating
33696,know fatten eat
33697,stop jabbering sweep house filthy
33698,care like friend
33699,yeah right sure pffft
33700,uh george cauldron
33701,george cauldron maybe fix ed ladle
33702,mmm sugar wall
33703,father know rescue
33704,oh rescue stuff candy good
33705,oh load bearing candy cane clumsy oaf
33706,oh get huh huh
33707,mmmm fish oh
33708,oh god let pain
33709,uh hello george cauldron suzanne ready
33710,poor thank father hungry
33711,let snorky big hand
33712,woo hoo yay snorky
33713,go to need volunteer frolic snorky raise hand want
33714,folk heat lobster tank hurry wanna pet -PRON- eat -PRON-
33715,oh want friend
33716,get away kill
33717,alcohol night swim win combination
33718,uh oh shark assassin sea
33719,hey shark dolphin clown sea
33720,ow ow hey gag
33721,hm bottle nose bruise blowhole burns flipper print look like work rowdy teen lou cancel prom
33722,yarrr begin dolphin old sea dog know stop
33723,  krusty shake donut burger cheese party size bucket flan
33724,story killer dolphin
33725,recent wave murder
33726,uh di killer dolphin mean killer italians
33727,gray bottle nose intelligent italians
33728,intelligent italians wrong
33729,dolphin stop speak low frequency voice think
33730,dolphin bent mayhem get to warn grampa
33731,hmm phone hook okay
33732,go to liver punchin '
33733,people frightened horny let killer dolphin live score
33734,ach want streak because interrupt
33735,snorky talk man
33736,sorry let start eon ago dolphin live land
33737,say dolphin live land
33738,ancestor drive sea suffer million year
33739,happy ocean playful leaping
33740,try cold wet morning wake phlegmy
33741,plus sewage dump
33742,king snorky banish human sea
33743,pushy dolphin like -PRON-
33744,wait stop outsmart dolphin forget invent computer leg warmer bendy straws peel n ' eat shrimp glory hole pudding cup go to let hoop jumping tuna muncher push
33745,hey leave daughter come human wipe entire specie
33746,come lad let drive ocean
33747,hey got to hand dolphin want
33748,kinda wish free leader know doomed mankind
33749,oh honey doom go to adjustment question
33750,believe kodo leave halloween
33751,sure space phone work
33752,hang try right
33753,know send muffin basket
33754,kang kodos production uh huh yes second want commercial call old navy
33755,whoa badger sorry man crash come let
33756,boy look like get roommate
33757,come lis get to way lure badger
33758,accord whatbadgerseat com badger subsist primarily diet stoat vole marmot
33759,hmm stoats stoat
33760,stoat weasel bart come can
33761,say corn bart
33762,pinch badger know eat woodpecker
33763,hey todd borrow woodpeck
33764,guess need birthday
33765,ha ha ha ha ha
33766,badger ass probably milhouse
33767,badger right possibly griffin bart dynamite room
33768,dad want kill let animal control
33769,great idea doctor
33770,badger rip shirt
33771,complete dial sure correct area code
33772,area code local
33773,phone company run number split city area code half town keep old area code half get
33774,  hell oh life ruin
33775,geez remember extra number
33776,oh easy marge
33777,away get big problem
33778,go to stand go to newspaper tv station gas station everybody
33779,hate new area code like remember
33780,miss old carl
33781,sure well close get convenience satan plus religious world
33782,burn word warning
33783,mean run tv commercial big radio campaign
33784,forget leaflet drop space shuttle week spend area code camp
33785,single word warning
33786,  traffic back mattress freeway
33787,mattress uh oh joan collins town
33788,joan collin girl sleep everybody
33789,okay time away freeeee concert ticket
33790,whachu talkin ' about
33791,talkin ' about gary
33792,give away ticket week concert springfield historic yahoo search engine arena
33793,dial big winner random
33794,dad area code anymore
33795,congratulation go to rendezvous
33796,fair fan beginning hillbilly bugg boy
33797,radio station let -PRON-
33798,know upset area code change especially cover dynamite
33799,let reassure fear groundless complaint moronic
33800,film explain word understand
33801,hi phoney mcringring mascot president telephone company explain convenience area code
33802,  replace convenience area code
33803,uh question phoney
33804,quiet honey daddy ask man question
33805,probably think sure area code great mind pay extra hidden fee remember number
33806,scientist discover monkey memorize number stupider monkey
33807,convince professional look film like get to right
33808,agree area code convenient
33809,wait minute hear nut dynamite phone company bamboozle
33810,accuse phone company make film purpose
33811,trouble get old classic area code live rich town
33812,usual joe pack royal screw job
33813,homer right gettin ' joan collins special
33814,  right gettin ' good
33815,rich snob pushin ' anymore
33816,pathetic slobs go to
33817,nice wiring bart
33818,work test corpse
33819,okay plan b fellow ' er break form city
33820,yeah city screw snob yeah let
33821,viva la revoluci n
33822,officially city sit wait nfl franchise
33823,help overhear represent arizona cardinal
33824,good decision homer show lot poise
33825,yeah maybe oughta mayor new springfield
33826,mayor star homer simpson
33827,reluctantly accept highly pay glamorous job
33828,present new plaque time bitterness pass let extend brother new springfield olive branch
33829,new springfield rock
33830,ahead laugh well town bird
33831,wheat cake mr mayor
33832,read lip yes
33833,dad get syrup sash
33834,  stupid divide city silly area code like mom split time fight
33835,sweetie know mother stay sake political career
33836,play great stick
33837,hey look find novelty fly disc
33838,novelty flying disc
33839,olde springfield park belong
33840,hey pant park
33841,right root beer banana toilet paper percent towner ' tax
33842,sorry mrs simpson charge foreign devil
33843,right better good toilet paper
33844,oh worry henderson toilet paper
33845,ooh hey bathroom
33846,know feel comfortable new springfield kind
33847,expect new springfield bold experiment slob rule disaster
33848,hey tv man talk
33849,study show crumble economy lazy attitude shoddy work
33850,scientist attractive physically speak educate manner tend use lowbrow expression like oh yeah c'mere minute
33851,oh yeah think well huh bart c'mere minute
33852,dad think good idea
33853,thank marge let olde snobfield electricity
33854,oh heart surgery dark
33855,sound like wager
33856,transport sir isaac newton modern day
33857,warn power failure
33858,oh sweet glayvin
33859,sir isaac leg hurt
33860,retaliation power outage olde springfield patriot intercept beer truck bind new springfield dump beer river
33861,rich snobby indians
33862,oh like revenge get people
33863,know vengeance pretty good
33864,woo hoo flood water
33865,get water doom
33866,wait minute gold colored substance riverbed
33867,money gold olde springfield able buy evian water factory fly france
33868,thanks mayor simpson take golden shower
33869,fight olde springfield people neighbor day
33870,right get block sight giant wall
33871,good idea guy
33872,like thank low ball construction build amazing wall ninety percent recycle material
33873,loyal citizen new springfield stay town despite total lack hospital school sewage nightmare threaten consume
33874,food road block
33875,worry plenty supply tomorrow wave disease help hey
33876,stop stream wall wait till talk
33877,okay food follow breed dog edible
33878,believe rat flee town
33879,dad mayor ghost town
33880,believe traitor abandon lousy famine
33881,rats'll come crawl
33882,get play tonight
33883,dad arena olde springfield
33884,dad maybe play instead
33885,hey maybe need liquid persuasion
33886,come bart go to bring
33887,huh oh right
33888,oh want huh
33889,think fire guard
33890,oh yeah right get fire pal wack o
33891,woo rock ' n ' roll
33892,duh trashin ' hotel room
33893,promise desk clerk good
33894,yeah want lose pool privilege
33895,point homer simpson
33896,mayor new springfield
33897,crazy mayor new springfield
33898,right implore concert town play olde springfield know sun city
33899,handshake agreement concert promoter sacred bond
33900,come happen angry defiant generation will fool mama get squeeze box
33901,know song homer
33902,olde springfield square go to cut hair turn music wear frilly shirt like keith partridge
33903,something wrong leg
33904,right walk good
33905,open woodstock come beatle wig ukulele hendrix say plotze exact word
33906,smither iron crease dungaree look like square
33907,uh crease leg sir
33908,hmm like tardy worried
33909,yarrr ' tis reckoning scurvy depth new springfield
33910,homer steal rock performance fat dumb bald guy sure play real hardball
33911,will ' til day die
33912,ya do new springfield
33913,honest little chilly
33914,outta way marge
33915,expect big crowd
33916,oh worry soon get well town
33917,tune want boy play
33918,wait minute homer lot grand funk railroad song
33919,know pacman fever
33920,oh come play pacman fever drive crazy look lisa daddy
33921,new springfield lookin ' pretty good ample parking daily concert
33922,right chit chat let ya like flame garbage
33923,ha ha hit tire fire
33924,people fightin '
33925,apparently different area code
33926,chuggere sticky wicket buy telephone auto re yanks speed dial
33927,radio shack great one
33928,yeah magic bus
33929,okay play magic bus tear wall
33930,marge look like insane experiment
33931,experiment come idea
33932,watermelon will know hit
33933,love tuesday dad
33934,hey take care dangerous melon threaten garden
33935,yeah hero parade
33936,right open stuck drawer righty
33937,listen want job right want fast
33938,like americans fast
33939,oh worry sleep beautiful new doghouse target date january
33940,grand finale lisa jammed tape vcr
33941,oop wait minute
33942,hmm go to lot firework clean place
33943,uh honey point father life blow daughter room
33944,oh yeah blow maggie room
33945,oh lisa rough time friend family stay
33946,oh come tell hey pretend birthday
33947,book festival start today
33948,hear ye hear ye dollar poetry book
33949,hello simpson care try sample new cookbook kitchen jesus
33950,mmmm stigmuffin die
33951,finally find daddy
33952,ooh like try mary magdalene chocolate orgasm
33953,mr king tale horror macabre work
33954,oh feel like write horror right
33955,work biography benjamin franklin fascinating man discover electricity torture small animal green mountain man key tie end kite open gate hell
33956,let know horror
33957,info cram absorb book instantly attach electrode brainpan loin
33958,tolstoy searing brain isaac
33959,diet eat want time want
33960,finally book today busy idiot network programming dummy christianity dummy mo moby dick ishmael dummy
33961,duh dunno get to bank
33962,look maggie christopher walken read goodnight moon
33963,  goodnight room goodnight moon goodnight cow jump moon
33964,child scooch close tell scooching red chop chop
33965,right question panel money
33966,uh yeah techno thriller junkie like know b bomber detectable rain
33967,ho ho think tom clancy
33968,ask maya angelou
33969,ebony fighter awaken dapple dewy bead morn
33970,maya angelou black
33971,mach child forever bind suckle shrivel breast congress
33972,oh maya national treasure
33973,ms tan love joy luck club show mother daughter bond triumph adversity
33974,mean get wrong
33975,book write scam huh page long guy write
33976,whoa whoa ask life story
33977,know krusty like
33978,oh wonderful fan
33979,hey bart big fan
33980,hey good because wanna
33981,hey pen get to day bup bup bup bup bup bup yeah
33982,hey good luck
33983,listen honey lot kid think daddy simple tv legend keychain
33984,sure father meet mom gulf war
33985,uh mother israeli flight attendant
33986,soldier chestnut brown hair kind shy thirty confirm kill
33987,oh boy comin '
33988,saddam hussein damn insane
33989,hey fan flame hatred
33990,yeah yeah heh heh heh think desert hotter cincinnati bengal cheerleader
33991,hey look girlfriend home
33992,insult muslim host
33993,desert wind kick
33994,seek shelter nearby tent
33995,mother look like beautiful mirage
33996,maybe anthrax air maybe fact arab woman bitin ' magic
33997,sleep late morning
33998,god late mission
33999,suppose assassinate saddam
34000,wait minute kill saddam half act
34001,save baseball bit sayin iya tol'ya second
34002,come go war month finally find
34003,mom say father pathetic clown type pathetic clown search engine pop right
34004,hey ya remember
34005,better go nice meeting ya thank come
34006,hope maybe stuff like beach junk
34007,look sweet kid exactly father material curse gamble pick fight homeless people
34008,wrong eye need claritin
34009,right trip beach assistant
34010,dear lord bless humble meal hear krusty whoa man mean know player geez kid
34011,homer prayer gossip
34012,fine discuss heavenly matter maude flander do playin ' field ooh yeah guy amen
34013,okay kid water knock
34014,come dad let body surfing boogie boarding
34015,listen kid kind dad know thing say stuff look love
34016,okay sit throw frisbee
34017,get to sit baryshnikov
34018,hey beat great day huh
34019,know clown lot fun
34020,boy fatherhood tough gig guy
34021,hey uh careful boy arch lookin ' little romanesque
34022,sorry daddy punish
34023,son let -PRON- finish smash
34024,mush homer mush
34025,catch dad catch
34026,okay sting daddy eye honey
34027,mm think find mentor
34028,know homer spend life entertain kid realize know thing -PRON-
34029,will lie fatherhood easy like motherhood trade mag wheel oh man sweet
34030,second honey daddy high horse
34031,yeah watch honey nice cannonball anyhoo key fathering think because thinking talk ooh clown
34032,kid get to admit startin ' grow
34033,think bit tide pool tell ya kill jacque cousteau funeral
34034,dad relax enjoy sunset
34035,hey know song dad play boy beautiful
34036,nah guess musical talent skip generation like diabetes want watch
34037,mom good time dad come milk cookie
34038,hasta la mocha okay think friendlier like beautiful downtown grozny
34039,little girl sharp tack try get nose bit fool second
34040,oh lousy hand stand
34041,fold o rama
34042,hand high low
34043,oh man totally tap consider take rolex
34044,oh yeah right let car
34045,weema way weema way weema way weema way weem
34046,let sweater custom floor mat stereo
34047,theft alert deploy airbag
34048,good hand life huh
34049,will bring cash sentimental value roof
34050,ace read -PRON-
34051,oh daughter forgive
34052,oh wait real
34053,hey hey dad
34054,hey hey look sophie know think daddy perfect
34055,  bad thing lose violin poker game
34056,worry get well
34057,yeah thinking man violin check
34058,wanna little grass shack kay la ke kua hawaii
34059,believe gamble mean
34060,wait time ace gamble
34061,mom right well know
34062,word street dump dawson
34063,history jenda wait'll see new exchange student
34064,hola harmony que es el dilly yo
34065,ethnic diversity pander
34066,maybe dawson go to bum
34067,got to help daughter find jerk
34068,oh krusty sure need time
34069,marge play devil advocate moment
34070,stupid game talk
34071,oh right break fat tony compound
34072,casual acquaintance like absolutely
34073,kinda mafia summit mob family country cuomos travolta lasorda boy ar dee
34074,perfect know fat tony distract host duty come
34075,hey hear lunar eclipse tonight maybe look
34076,nah solar nothing
34077,welcome home answer question yes pasta
34078,hey right like pasta good
34079,need money launder set outside door pick morning
34080,whoa hey good
34081,unpleasant news learn room squealer
34082,narrow johnny tightlips frankie squealer
34083,okay help like squealin ' make feel big
34084,right come history
34085,violin get to
34086,know fat tony real marion
34087,go to forever
34088,hey leg let jump tony bed
34089,get to outta -PRON-
34090,decide website crime dot org
34091,johnny tightlips hit ya
34092,be sayin ' nothing
34093,tell suck lemon
34094,dad sound weird glad friend
34095,line case money small bill unmarke non sequential
34096,holy simoleon grand oh intentionally lucky little homantashen
34097,come tune old man
34098,oh right fair class act
34099,sorry jerk ha ha
34100,ow bullet go
34101,time long kid
34102,krusty clown bring new gamestation slightly fast maaaaax
34103,destroy happy maxxx
34104,headline jay ketchup truck hits hamburger stand
34105,mom buck k gamestation dollar k
34106,oh able help
34107,penny chum buy bubble gum cap cap find nickel snow blow picture cap cap
34108,spy quarter pie
34109,want money job like old man
34110,smart old man eh
34111,like attitude need
34112,nice day work kid
34113,man need job
34114,need job job
34115,hang thai menu door business send daughter small liberal art college swarthmore maybe sarah lawrence professor ha dynamite
34116,hang -PRON- door get
34117,hey hey menus cut ya like box flap
34118,quitta quitta boy quitta boy
34119,restaurant fail child state college student powerless drunken jockocracy baseball hat
34120,hey man job dangerous
34121,menu boy coward like shrimp menu boy brave like prawn
34122,menu boy silently like ghost leave footprint lunch special
34123,bart know tree die menu
34124,true got pay money equal funny sister
34125,bart sweet family krustyburger
34126,hey people family er ers
34127,oh cute kid look roof
34128,know day come cow take -PRON-
34129,hey cow roof think pager bust
34130,funny small car
34131,listen let dialogue go
34132,mother cow rest follow
34133,corporation cut rainfor create graze land cattle
34134,oh luvva gimme
34135,worry honey fire beanbag
34136,silence truth beanbag
34137,nice work bag zooka
34138,got to love chief
34139,new orleans hose tabasco
34140,right cow boy mooo nicipal court
34141,believe young cute idealistic
34142,look marge limo simpson go paris
34143,opening poser level
34144,eco radical group dirt stage daring protest today krustyburger krusty clown issue follow statement need
34145,group lead teenage activist jesse grass dreadlocked dreamboat birken stock rise
34146,ah luftwaffe washington generals history channel
34147,yeah boy lisa like
34148,lisa jesse sittin ' tree k s s n g
34149,come love come um dammit know
34150,like visit prisoner
34151,hey flame toilet paper throw home
34152,yeah start cool
34153,lisa simpson think protest incredibly brave
34154,thank planet need friend
34155,oh earth good vegetarian
34156,um think go vegan
34157,uh yeah level vegan will eat cast shadow
34158,wow um start organic compost pile home
34159,home mean pocket mulch
34160,oh decomposed think join dirt
34161,oh thank thank
34162,good time hippie club
34163,like save environment way
34164,happy report succeed block st patrick day parade year step lizard
34165,celebrate mayor secret tree auction night
34166,bid log right springfield old redwood tree
34167,thirty thousand dollar cage animal experimentation
34168,thousand thai menus daughter wait list bennington
34169,thousand simoleon world drive humidor
34170,uh sell rich texan
34171,yee haw yippee yi ki yi yaa woo doggie ya ha hoo etc
34172,thank caleb tape sneak camera
34173,cut sequoia live volunteer
34174,whoa hold come phish concert burn man
34175,sheesh look refugee about smile
34176,undergo terrible hardship
34177,mope will well
34178,mom dad go to like believe right thing
34179,marge go to narc stash
34180,oh think high maybe circulate petition
34181,look like good place set camp
34182,gentleman start chain saw
34183,will come till spare tree
34184,right lisa hard core
34185,say hard core
34186,okay mom safety line
34187,fault non threatening bobby sherman style good look girl resist charm
34188,choice mr simpson
34189,sorry listen lose eye
34190,right care bucket
34191,hot thai soup ohhh bart dear lisa rock mom call rescue agency dad build giant ladder poor quality miss bart awww
34192,day springfield li'l est tree hugger excuse little tree hugger love hate politic get to gawk crazy idiot
34193,oh seven o'clock family sit dinner
34194,hang christmas stocking
34195,color easter egg
34196,oh bad go home hour
34197,ew mark territory
34198,ooh morning get to
34199,oh mom logger chop tree leave post
34200,honey let turn news forget trouble
34201,springfield old resident die mr burn majestic old redwood brutally cut night logger lightning
34202,lightning attract metal bucket
34203,unknown fate tree sitter lisa simpson
34204,afraid look good kent find sleeping bag
34205,right work theory lightning explode kent
34206,goodbye lisa miss
34207,oh lisa go bring
34208,oh praise god alive
34209,love lisa simpson love like shrub sweet face
34210,death cause life
34211,uh huh texas tragedy right memory poor little girl turn entire forest lisa simpson wilderness preserve
34212,win lisa finally win
34213,cut favorite dread
34214,mom memorial forest alive cut
34215,pretend dead young lady family bad luck come farce
34216,homer neddy bake little ease pain
34217,oh hide lisa
34218,bart school policy student situation straight
34219,tragic loss sister
34220,ah yes ghastly business
34221,grieving father comin '
34222,homer ah booze house see lisa ah uh ridin ' midnight train slab city
34223,thank beer moe lisa die tape think hear
34224,dear moe happen want tear dad tab pour cocktail onion dad
34225,  pour cocktail onion pant
34226,be say dead girl
34227,branford marsalis play lisa saxophone
34228,touch clone spit
34229,good luck milhouse
34230,finally exciting announcement good friend omni pave
34231,folk night dear depart lisa come dream tell fond wish forest world rootin' tootin'est pollutin' amusement park
34232,  amusement park
34233,promise nature preserve
34234,fret sensitive eco concern
34235,boy gift shop right yee ha cut ha ha
34236,g g g girl
34237,dead sense moral outrage
34238,heinie offa lisa land
34239,redwood promotional tool
34240,good lord cut guide wire
34241,nice work tree return
34242,oh right super power
34243,sweet head business district
34244,nooo finger ling ling good
34245,yee ha score bad guy
34246,aw jesse lock
34247,yeah fightin ' earth get -PRON- install solar power electric chair
34248,time life education answer
34249,dude morning moisten head sponge
34250,write letter rice paper soy pencil
34251,hey stop log
34252,wassup wi '
34253,log log log log lightning strike kick bucket
34254,pour onion inside trouser
34255,log tree spread love hey look head sea
34256,happy bart simpson happy
34257,son honor student go bumper sticker inform stranger fact
34258,cotton pickin ' minute get gymboree
34259,start week krabappel class
34260,try breed hamster lizard create unholy super creature see bad crime nature
34261,ah head lice inspection day kid get nit pick private cootie
34262,talk let martin desk
34263,mercury venus earth mars
34264,come edna tardy
34265,mercury venus earth mars jupiter saturn uranus neptune pluto
34266,take test answer stick brain like different kind cheating
34267,excuse sir credit card reject
34268,deadbeat deadbeat deadbeat
34269,oh embarrassing let valid
34270,get away stop mary kay
34271,okay pay precious food go to
34272,va la bamba va la bamba
34273,playing technically proficient lack passion
34274,fine want passion passion
34275,blue spanish eye teardrop fall spanish eye
34276,happen rung society
34277,think cold snap kill hobo
34278,dad happen seat
34279,sell gas money
34280,spend novelty horn
34281,maybe talk financial planner
34282,financial panther eh
34283,mr simpson dollar overdrawn
34284,set aside future
34285,eh know cop shoot day retirement business ret irony
34286,terrible thing look wife cry
34287,mortgage credit card debt saving support father
34288,base figure afraid need declare bankruptcy time look projection
34289,marge posture look terrible
34290,interesting continue lose money dead gravesite untended vandalize
34291,mr simpson intelligence profile indicate stupid stick budget
34292,let simply need money
34293,financial planner financial consultant like fee
34294,know deaf mute mr simpson talk minute
34295,uh sir small personal request
34296,oh course smither
34297,disable button sir need time know write musical malibu stacy doll
34298,doll write musical common cat king siam smither
34299,actually sir book small theater new mexico
34300,whoa whoa slow maestro new mexico
34301,yes want dream come true go week
34302,oh fine amuse
34303,old ball chain go maybe finally little fun office
34304,bah candy shop yes pound bristol toffee ooh wrap tightly hungry
34305,powerful enemy today friend
34306,wow see lunch beer homer
34307,oh concur word day calendar
34308,try work courage ask burn raise highly pay internship solve money woe
34309,hmm sort cafetorium
34310,ah chance homer mr burns enter room
34311,hmmm kind force field vegetable
34312,sneeze guard lean salad sneeze stuff
34313,mr burns wonder raise
34314,thirty second wow
34315,sir sir work long time wife game leg kid game thing
34316,want hear whining bored joyless old man laugh
34317,laugh okay let news today
34318,oh love hurl
34319,lenny war hero
34320,eye suppose pudding
34321,capital lung ache
34322,like throw pudding
34323,let laugh come eh simpson executive charge recreation well prank monkey
34324,little monkey run rag
34325,man carl let help
34326,right prank monkey let mischief
34327,ninety ninety oh real chick go easy
34328,look comic book fellow calmly eat candy like spaniard time monkey shine
34329,like buy mint condition spider man number
34330,like hour holodeck seven
34331,saturn ring let
34332,paper bag triple mylar
34333,uh thanks eat
34334,good fair poor
34335,oh uproarious rate job monkey
34336,fun smither know meaning word gay
34337,sell separately feel like sell separately box find
34338,little help boom boom
34339,  oh gross pee outta
34340,line lady room far long hope mind
34341,baby boom boom
34342,oh good heavens
34343,year ' worth inoculation
34344,good man throw polio shot
34345,oh yes sir
34346,homie ball money
34347,outside project mr burns
34348,oh y'know business stuff downsize e solution glass ceiling
34349,hmm proud good provider kid come thank father injection
34350,hey dad money panda cone
34351,gah dollar send mother month
34352,weekday dad want dvd player
34353,look proud hopeful face wait'll rare chinese panda fat guy suit
34354,ooh heart bit
34355,courtesy anonymous donor welcome new panda sim sim
34356,shy girl oh think get ready yes lindy hop
34357,look like sim sim little frisky today trainer go to calm
34358,worry folk thick thick hide pandas feel slight tickle powerful electric shock
34359,oh say love
34360,sim sim like boogie
34361,wrong terribly wrong
34362,hey resident bull panda ping ping luck folk close know mean
34363,huh help mr burns
34364,look present think year happen
34365,ping ping ask sim sim marry think say yes
34366,hah be go cutie
34367,glad guy got to
34368,daddy dance see dance
34369,mysterious new job mr burns
34370,yes humiliate fistful cash
34371,oh dad stop
34372,monkey panda give unexpected zazz festivity eh
